cust_id,AVARAGE _INTER_BOUNCE_TIME,salary of customer,FIRST 3 MONTH_BOUNCE_RATIO,FIRST_MONTH_BOUNCE,LATEST 3 MONTH_BOUNCE_RATIO,LATEST 3 MONTH_CLEAR_RATIO,LATEST_3 MONTHONTH_AVARAGE UNIQ_INTENSITY,LATEST_3 MONTHONTH_NUMBER OF TIME_FOLLOWUP_GT15D,LATEST_3 MONTHONTH_NUMBER OF TIME_FOLLOWUP_LQ15D,LATEST_MONTH_BOUNCE,LATEST_MONTH_FIRST_FOLLOWUP_DAY,LATEST_MONTH_LAST_FOLLOWUP_DAY,LATEST_MONTH_UNIQ_INTENSITY,month on book,NEVER_BOUNCE_FLAG,NUMBER OF TIME_BANK_CLEAR,NUMBER OF TIME_BOUNCE_PAID_BY_ END OF THE MONTH,NUMBER OF TIME_BOUNCES_LATEST_25PT,NUMBER OF TIME_CLEAR,number of deviations customer have at time of disbursal. ,Median day Offline payment  (like manual or mobility app payment)number of receipt cut,On which day receipt cut has been done,median receipt cut in last 6 month,remaining tenure of customer,RATE OF INTEREST,total number of dre receipt cut,TOTAL_OUTSTANDING_BALANCE LIVE_TRACTOR LOAN,number of unique receipt cut
cust4069,3,304555,1,1,1,0,6.5,0,2,1,0,0,0,0,NO,0,2,3,0,1,25,5,31,25,17.55,16,,16
cust4070,4,394763,1,1,1,0,4,1,0,0,25,25,4,0,NO,0,2,2,0,1,26,7,30,37,17.28,6,,6
cust4071,0.94,330000,1,1,0,0,0,0,0,0,0,0,0,0,NO,0,12,6,0,1,29,,27,-9,20.01,44,,44
cust4072,3,635798,1,1,1,0,0,0,0,1,0,0,0,0,NO,0,2,1,0,1,18,26,15,53,15.82,2,,2
cust4073,0,208770,1,1,1,0,0,0,0,1,0,0,0,0,NO,0,1,1,0,1,31,10,31,39,20.24,1,,1
cust4074,0,159586,0,0,0,1,0,0,0,0,0,0,0,0,YES,1,0,0,4,0,31,,0,31,17.09,1,,1
cust4075,0,23664704,0.5,0,0.5,0.5,1,1,0,1,0,0,0,0,NO,0,0,1,1,2,31,18,31,51,16.58,3,,3
cust4076,3,485526,1,1,1,0,4,1,0,1,0,0,0,0,NO,0,2,1,0,2,27,6,29,57,16.3,3,,3
cust4077,0.92,250000,1,1,1,0,7.5,2,0,0,22,22,14,0,NO,0,2,4,0,0,29,22,25,-3,22,10,,10
cust4078,4.5,360729,1,1,1,0,0,0,0,1,0,0,0,0,NO,0,2,2,0,0,22,31,26,-1,20.14,14,,14
cust4079,3,1030354,1,1,1,0,10,1,1,1,0,0,0,0,NO,0,1,3,0,1,10,9,17,15,17.07,10,,10
cust4080,0,1046796,1,1,1,0,0,0,0,1,0,0,0,0,NO,0,1,1,0,0,21,,21,51,21.34,2,,2
cust4081,4,1267700,1,1,1,0,0,0,0,1,0,0,0,0,NO,0,2,1,0,1,26,,30,17,15.42,4,,4
cust4082,3,603400,1,1,1,0,0,0,0,1,0,0,0,0,NO,0,1,1,0,2,16,,14,39,17.34,3,,3
cust4083,3,1589564,1,1,1,0,3,1,0,1,0,0,0,0,NO,0,0,1,0,1,24,20,24,45,16.21,5,,5
cust4084,3,319021,0.33,0,0.67,0.33,0,0,0,1,0,0,0,0,NO,0,2,2,1,0,29,6,17,7,20.07,4,,4
cust4085,3,796360,1,1,1,0,4,1,0,1,0,0,0,0,NO,0,1,1,0,1,29,24,28,51,16.82,4,,4
cust4086,4.5,571610,1,1,1,0,4,1,0,1,0,0,0,0,NO,0,4,2,0,2,8,,5,45,18.06,4,,4
cust4087,3,612846,1,1,1,0,2,1,0,1,0,0,0,0,NO,0,1,1,0,0,19,31,31,27,17.61,2,,2
cust4088,4,260000,1,1,1,0,10,1,0,1,0,0,0,0,NO,0,0,2,0,0,29,,26,27,17.11,7,,7
cust4089,0.94,330000,1,1,0,0,0,0,0,0,0,0,0,0,NO,0,12,6,0,1,29,,0,-11,20.01,44,,44
cust4090,0,438491,0,0,0.33,0.67,1,1,0,1,0,0,0,0,NO,0,1,1,3,0,24,31,18,37,16.26,2,,2
cust4091,3,1555900,1,1,1,0,2,1,0,1,0,0,0,0,NO,0,2,1,0,2,29,3,29,49,16.12,6,,6
cust4092,3,935802,1,1,1,0,0,0,0,1,0,0,0,0,NO,0,2,1,0,1,18,21,30,49,16.26,2,,2
cust4093,3,863857,1,1,1,0,0,0,0,1,0,0,0,0,NO,0,2,1,0,1,30,,30,49,15.21,3,,3
cust4094,3,689568,0.67,1,0.33,0.67,0,0,0,0,0,0,0,0,NO,0,2,0,2,1,11,,24,7,22.03,5,,5
cust4095,0,323418,1,1,1,0,0,0,0,1,0,0,0,0,NO,0,1,1,0,1,26,6,26,17,22.02,1,,1
cust4096,3.6,835882,1,1,1,0,7,1,0,0,25,25,7,0,NO,0,2,2,0,0,17,5,14,37,17.13,14,,14
